Animal_ID,Species,Breed,Age_Years,Parity,Days_In_Milk,Past_Mastitis_Episodes,Mean_EC,Milk_pH,Milk_Temperature_C,Milk_Yield_Liters,Somatic_Cell_Count_Actual,Risk_Tier_Label,Risk_Tier_Code
IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,116,1,5.547,6.888,39.66,11.27,812288,Moderate Risk,2
IN-DAIRY-1001,Cattle,HF_Cross,8,4,192,0,4.862,6.631,38.51,18.38,82655,No Risk,0
IN-DAIRY-1002,Cattle,Jersey_Cross,4,4,188,0,4.85,6.617,38.71,13.88,43111,No Risk,0
IN-DAIRY-1003,Cattle,HF_Cross,8,2,117,1,5.011,6.654,38.99,15.66,54053,No Risk,0
IN-DAIRY-1004,Cattle,Gir,3,3,210,2,5.54,7.191,40.57,5.93,2174008,High Risk,3
IN-DAIRY-1005,Cattle,Gir,7,1,64,0,4.92,6.73,38.44,9.38,98787,No Risk,0
IN-DAIRY-1006,Cattle,Gir,3,3,193,1,4.83,6.58,39.04,11.22,44928,No Risk,0
IN-DAIRY-1007,Cattle,Sahiwal,9,1,160,0,4.855,6.603,38.77,10.52,49196,No Risk,0
IN-DAIRY-1008,Buffalo,Murrah_Buffalo,8,3,101,0,5.136,6.717,38.69,12.24,285932,Low Risk,1
IN-DAIRY-1009,Buffalo,Murrah_Buffalo,5,1,233,0,4.649,6.632,38.74,8.93,53517,No Risk,0
IN-DAIRY-1010,Buffalo,Murrah_Buffalo,3,2,248,0,4.989,6.651,38.37,12.39,55911,No Risk,0
IN-DAIRY-1011,Cattle,Jersey_Cross,3,5,130,0,4.815,6.681,38.79,14.54,48187,No Risk,0
IN-DAIRY-1012,Buffalo,Murrah_Buffalo,7,2,175,3,5.047,6.543,38.59,11.41,65464,No Risk,0
IN-DAIRY-1013,Cattle,Jersey_Cross,8,1,111,0,4.809,6.644,38.42,10.55,39591,No Risk,0
IN-DAIRY-1014,Cattle,Jersey_Cross,8,2,224,0,4.857,6.684,38.69,12.56,47345,No Risk,0
IN-DAIRY-1015,Cattle,Jersey_Cross,8,4,217,0,4.856,6.565,38.96,13.92,43807,No Risk,0
IN-DAIRY-1016,Cattle,Gir,5,5,176,0,4.94,6.569,38.57,11.16,51586,No Risk,0
IN-DAIRY-1017,Cattle,HF_Cross,5,4,194,1,4.643,6.572,38.09,14.49,799277,Moderate Risk,2
IN-DAIRY-1018,Cattle,Sahiwal,6,2,92,1,4.872,6.73,38.86,9.64,535697,Moderate Risk,2
IN-DAIRY-1019,Cattle,Sahiwal,7,3,240,0,4.81,6.621,39.11,10.55,69380,No Risk,0
IN-DAIRY-1020,Cattle,Jersey_Cross,7,5,102,0,5.583,7.17,40.95,15.52,2728024,High Risk,3
IN-DAIRY-1021,Cattle,Jersey_Cross,8,3,210,1,4.893,6.627,38.69,14.78,65215,No Risk,0
IN-DAIRY-1022,Cattle,Jersey_Cross,3,4,129,0,4.912,6.69,38.53,11.88,53419,No Risk,0
IN-DAIRY-1023,Cattle,Jersey_Cross,6,3,224,0,5.176,6.8,38.67,12.15,193450,Low Risk,1
IN-DAIRY-1024,Cattle,HF_Cross,6,1,208,1,5.076,6.804,38.8,18.2,320605,Low Risk,1
IN-DAIRY-1025,Buffalo,Murrah_Buffalo,5,4,147,0,4.9,6.581,38.84,12.39,75996,No Risk,0
IN-DAIRY-1026,Cattle,Jersey_Cross,4,4,104,1,4.888,6.633,38.53,16.74,78490,No Risk,0
IN-DAIRY-1027,Cattle,Jersey_Cross,6,3,68,1,4.781,6.604,39.01,14.76,54405,No Risk,0
IN-DAIRY-1028,Cattle,Jersey_Cross,4,3,189,1,4.876,6.565,38.69,13.13,75135,No Risk,0
IN-DAIRY-1029,Cattle,Jersey_Cross,9,3,92,0,4.661,6.581,38.92,12.49,33252,No Risk,0
IN-DAIRY-1030,Cattle,HF_Cross,7,2,200,0,4.875,6.538,38.62,16.11,89659,No Risk,0
IN-DAIRY-1031,Buffalo,Murrah_Buffalo,3,5,236,0,4.701,6.655,38.92,11.82,106589,No Risk,0
IN-DAIRY-1032,Cattle,HF_Cross,9,2,200,0,4.798,6.534,38.41,15.2,47820,No Risk,0
IN-DAIRY-1033,Cattle,Sahiwal,8,1,175,0,4.889,6.681,38.93,8.64,52909,No Risk,0
IN-DAIRY-1034,Cattle,HF_Cross,8,1,182,0,4.894,6.565,38.89,16.79,57014,No Risk,0
IN-DAIRY-1035,Cattle,Sahiwal,7,1,244,1,4.884,6.628,38.77,8.12,50387,No Risk,0
IN-DAIRY-1036,Cattle,Jersey_Cross,6,1,114,0,4.95,6.679,38.64,13.78,63768,No Risk,0
IN-DAIRY-1037,Cattle,Gir,8,5,134,0,4.764,6.532,38.73,9.67,76306,No Risk,0
IN-DAIRY-1038,Cattle,HF_Cross,3,3,233,0,5.277,6.774,38.82,13.28,205384,Low Risk,1
IN-DAIRY-1039,Cattle,Gir,8,3,180,0,4.751,6.497,38.48,12.93,48914,No Risk,0
IN-DAIRY-1040,Cattle,HF_Cross,4,3,116,0,4.766,6.572,38.58,11.06,57376,No Risk,0
IN-DAIRY-1041,Buffalo,Murrah_Buffalo,3,1,100,0,5.042,6.617,38.71,14.91,54150,No Risk,0
IN-DAIRY-1042,Cattle,Jersey_Cross,7,3,110,1,5.051,6.624,38.57,12.65,85884,No Risk,0
IN-DAIRY-1043,Cattle,HF_Cross,9,4,166,2,4.872,6.721,37.97,20.09,63442,No Risk,0
IN-DAIRY-1044,Cattle,Sahiwal,5,2,53,0,5.366,7.061,39.4,9.81,519847,Moderate Risk,2
IN-DAIRY-1045,Cattle,HF_Cross,8,3,185,0,5.247,6.669,38.61,12.24,303701,Low Risk,1
IN-DAIRY-1046,Buffalo,Murrah_Buffalo,5,3,178,1,5.069,6.821,39.89,7.8,414950,Moderate Risk,2
IN-DAIRY-1047,Cattle,HF_Cross,6,5,181,3,5.421,6.864,39.78,16.73,910397,Moderate Risk,2
IN-DAIRY-1048,Buffalo,Murrah_Buffalo,7,1,177,1,4.848,6.514,38.47,10.85,69373,No Risk,0
IN-DAIRY-1049,Cattle,HF_Cross,7,5,47,0,4.896,6.616,38.35,20.89,65295,No Risk,0
IN-DAIRY-1050,Cattle,HF_Cross,8,3,248,2,4.774,6.686,38.8,15.37,69521,No Risk,0
IN-DAIRY-1051,Cattle,Gir,3,5,64,0,4.797,6.585,38.57,13.15,52719,No Risk,0
IN-DAIRY-1052,Cattle,HF_Cross,3,4,132,1,4.932,6.591,38.59,14.35,48648,No Risk,0
IN-DAIRY-1053,Cattle,Jersey_Cross,9,1,226,0,4.939,6.544,38.66,10.68,49458,No Risk,0
IN-DAIRY-1054,Cattle,HF_Cross,3,5,202,1,5.133,6.701,38.35,18.82,270447,Low Risk,1
IN-DAIRY-1055,Cattle,Sahiwal,5,4,224,0,4.89,6.636,38.53,11.36,71757,No Risk,0
IN-DAIRY-1056,Cattle,HF_Cross,7,3,156,3,5.13,6.661,38.82,17.54,272071,Low Risk,1
IN-DAIRY-1057,Cattle,Gir,8,1,220,1,5.05,6.58,38.22,5.7,70077,No Risk,0
IN-DAIRY-1058,Cattle,Jersey_Cross,8,1,163,0,5.531,7.209,40.31,8.63,2077488,High Risk,3
IN-DAIRY-1059,Cattle,Gir,5,3,106,0,5.028,6.544,38.69,10.27,53864,No Risk,0
IN-DAIRY-1060,Cattle,Jersey_Cross,4,4,212,0,4.714,6.629,38.51,12.43,48411,No Risk,0
IN-DAIRY-1061,Cattle,Gir,4,3,247,1,4.809,6.641,38.91,9.52,80565,No Risk,0
IN-DAIRY-1062,Buffalo,Murrah_Buffalo,9,4,97,1,4.985,6.644,38.73,13.96,73172,No Risk,0
IN-DAIRY-1063,Cattle,Gir,4,1,59,0,4.804,6.625,38.66,4.81,91680,No Risk,0
IN-DAIRY-1064,Cattle,HF_Cross,3,4,89,2,4.81,6.633,38.83,13.36,763266,Moderate Risk,2
IN-DAIRY-1065,Buffalo,Murrah_Buffalo,8,5,65,3,4.818,6.522,38.92,16.37,58364,No Risk,0
IN-DAIRY-1066,Cattle,HF_Cross,7,1,186,2,4.817,6.643,38.63,13.02,62693,No Risk,0
IN-DAIRY-1067,Buffalo,Murrah_Buffalo,6,4,139,0,5.165,6.964,39.79,12.51,718945,Moderate Risk,2
IN-DAIRY-1068,Cattle,HF_Cross,8,1,126,0,4.689,6.645,38.8,18.05,48898,No Risk,0
IN-DAIRY-1069,Cattle,Jersey_Cross,7,3,121,0,4.893,6.629,38.67,15.94,56753,No Risk,0
IN-DAIRY-1070,Cattle,HF_Cross,4,1,52,2,4.783,6.521,38.64,13.86,88993,No Risk,0
IN-DAIRY-1071,Cattle,HF_Cross,9,3,103,0,5.462,7.219,40.57,10.31,3379399,High Risk,3
IN-DAIRY-1072,Cattle,Jersey_Cross,3,4,77,0,4.872,6.633,38.43,16.81,53611,No Risk,0
IN-DAIRY-1073,Cattle,Gir,4,3,234,2,4.798,6.658,38.48,8.88,30713,No Risk,0
IN-DAIRY-1074,Cattle,Jersey_Cross,9,2,163,0,4.824,6.629,38.87,12.53,61404,No Risk,0
IN-DAIRY-1075,Cattle,Sahiwal,6,3,235,0,4.907,6.667,38.06,11.94,70006,No Risk,0
IN-DAIRY-1076,Cattle,HF_Cross,6,4,151,1,5.374,6.635,39.02,8.87,224954,Low Risk,1
IN-DAIRY-1077,Cattle,HF_Cross,5,1,155,3,4.809,6.62,38.5,10.57,58140,No Risk,0
IN-DAIRY-1078,Cattle,HF_Cross,7,3,160,0,4.83,6.509,38.37,18.31,62019,No Risk,0
IN-DAIRY-1079,Cattle,Jersey_Cross,9,1,157,1,4.914,6.589,38.56,12.67,46159,No Risk,0
IN-DAIRY-1080,Cattle,HF_Cross,9,4,99,1,5.126,6.662,38.87,18.9,199936,Low Risk,1
IN-DAIRY-1081,Cattle,Jersey_Cross,9,2,143,0,4.88,6.563,38.65,13.42,53169,No Risk,0
IN-DAIRY-1082,Cattle,HF_Cross,5,2,87,1,5.0,6.577,38.66,19.19,77432,No Risk,0
IN-DAIRY-1083,Cattle,Jersey_Cross,5,5,86,1,5.034,6.623,38.77,11.88,52184,No Risk,0
IN-DAIRY-1084,Cattle,Sahiwal,3,4,54,1,4.751,6.677,38.43,11.54,52992,No Risk,0
IN-DAIRY-1085,Cattle,Sahiwal,7,3,103,0,4.936,6.619,38.06,10.73,65822,No Risk,0
IN-DAIRY-1086,Cattle,Gir,5,5,63,0,4.997,6.69,38.52,10.89,77317,No Risk,0
IN-DAIRY-1087,Buffalo,Murrah_Buffalo,7,3,220,0,4.953,6.732,38.96,11.81,58561,No Risk,0
IN-DAIRY-1088,Cattle,HF_Cross,9,3,52,1,4.856,6.586,38.87,13.6,78915,No Risk,0
IN-DAIRY-1089,Buffalo,Murrah_Buffalo,6,5,66,0,4.681,6.679,38.34,10.81,69098,No Risk,0
IN-DAIRY-1090,Cattle,Jersey_Cross,9,5,76,0,4.658,6.618,38.64,16.44,54359,No Risk,0
IN-DAIRY-1091,Cattle,Gir,5,2,64,2,4.861,6.616,38.72,10.59,74047,No Risk,0
IN-DAIRY-1092,Cattle,HF_Cross,7,4,173,0,4.832,6.582,38.35,21.56,54098,No Risk,0
IN-DAIRY-1093,Cattle,Jersey_Cross,7,5,62,0,4.704,6.577,38.44,15.63,48651,No Risk,0
IN-DAIRY-1094,Cattle,Jersey_Cross,9,4,206,2,4.85,6.577,38.9,13.18,55105,No Risk,0
IN-DAIRY-1095,Cattle,Jersey_Cross,6,2,132,0,4.869,6.543,38.59,9.94,40003,No Risk,0
IN-DAIRY-1096,Cattle,Jersey_Cross,3,1,232,0,5.235,6.901,39.43,7.47,616629,Moderate Risk,2
IN-DAIRY-1097,Cattle,HF_Cross,3,4,46,0,4.784,6.606,39.05,19.39,85177,No Risk,0
