Date,Day_Index,Animal_ID,Species,Breed,Age_Years,Parity,Days_In_Milk,Past_Mastitis_Episodes,Ambient_Temp_C,Humidity_Pct,THI_Index,Bedding_Hygiene_Score,Teat_Dip_Compliance,Milking_Vacuum_Status,EC_Front_Left,EC_Front_Right,EC_Rear_Left,EC_Rear_Right,Mean_EC,Quarter_Differential_Ratio,Milk_pH,Milk_Temperature_C,Milk_Yield_Liters,Rumination_Minutes,Lying_Hours,Optical_SCC_Proxy,Somatic_Cell_Count_Actual,Days_To_Clinical_Onset,Suspected_Quarter,Will_Develop_Mastitis_in_14Days,Risk_Tier_Label,Risk_Tier_Code
2026-01-01,0,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,86,1,23.26,75.75,71.75,5,1,Stable,5.016,5.087,4.789,4.992,4.971,1.062,6.601,38.3,13.93,485.4,12.1,1.621,58141,-1,None,0,No Risk,0
2026-01-02,1,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,87,1,28.98,79.69,81.24,2,1,Stable,5.164,4.937,4.698,5.008,4.952,1.099,6.588,38.59,13.35,448.6,11.2,1.625,79424,-1,None,0,No Risk,0
2026-01-03,2,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,88,1,33.4,85.42,89.38,4,1,Stable,5.179,4.97,4.829,5.016,4.999,1.073,6.614,38.64,12.94,494.3,12.2,1.534,57359,-1,None,0,No Risk,0
2026-01-04,3,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,89,1,24.56,68.69,73.07,2,1,Stable,5.188,5.024,4.805,5.016,5.008,1.08,6.594,38.45,13.54,482.8,11.7,1.687,75557,-1,None,0,No Risk,0
2026-01-05,4,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,90,1,34.26,66.75,87.14,3,1,Fluctuating,5.172,5.027,4.728,4.896,4.956,1.094,6.598,38.65,14.3,456.9,11.4,1.564,70227,-1,None,0,No Risk,0
2026-01-06,5,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,91,1,28.57,82.36,80.96,3,1,Stable,5.183,5.025,4.82,4.846,4.968,1.075,6.589,38.53,12.74,472.5,11.7,1.58,61941,-1,None,0,No Risk,0
2026-01-07,6,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,92,1,33.51,75.91,87.77,5,1,Stable,5.065,4.928,4.686,5.199,4.969,1.109,6.586,38.56,13.38,442.7,12.2,1.488,48271,-1,None,0,No Risk,0
2026-01-08,7,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,93,1,29.59,76.84,81.79,2,1,Stable,5.171,4.963,4.818,4.957,4.977,1.073,6.527,38.74,13.82,455.5,12.4,1.673,49534,-1,None,0,No Risk,0
2026-01-09,8,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,94,1,35.56,75.72,90.94,2,0,Stable,5.131,4.985,4.832,5.007,4.989,1.062,6.614,38.71,12.82,459.6,11.3,1.533,50397,-1,None,0,No Risk,0
2026-01-10,9,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,95,1,34.8,81.62,90.93,3,1,Fluctuating,4.937,5.007,4.865,4.896,4.926,1.029,6.583,38.67,13.03,469.3,12.5,1.609,66636,-1,None,0,No Risk,0
2026-01-11,10,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,96,1,33.5,76.57,87.88,4,1,Stable,5.2,5.006,4.768,5.048,5.005,1.091,6.597,38.69,13.16,472.0,12.5,1.514,67873,-1,None,0,No Risk,0
2026-01-12,11,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,97,1,33.02,75.18,86.87,2,1,Stable,5.045,5.038,4.867,4.997,4.987,1.037,6.618,38.64,12.63,430.8,12.7,1.575,53336,-1,None,0,No Risk,0
2026-01-13,12,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,98,1,33.97,73.36,87.99,3,1,Stable,5.104,5.008,5.014,4.961,5.022,1.029,6.591,38.69,13.43,459.0,11.9,1.527,74461,-1,None,0,No Risk,0
2026-01-14,13,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,99,1,33.86,74.03,87.96,1,1,Stable,4.994,4.861,4.661,4.871,4.847,1.072,6.628,38.53,13.01,480.0,11.4,1.609,58232,-1,None,0,No Risk,0
2026-01-15,14,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,100,1,30.76,58.3,80.63,3,1,Stable,5.04,5.008,4.778,4.908,4.933,1.055,6.581,38.82,12.82,460.2,11.6,1.587,67300,-1,None,0,No Risk,0
2026-01-16,15,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,101,1,31.75,76.55,85.13,1,1,Stable,5.093,5.065,4.779,4.933,4.968,1.066,6.562,38.67,12.4,439.8,11.5,1.585,76236,-1,None,0,No Risk,0
2026-01-17,16,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,102,1,35.52,85.07,92.82,1,0,Stable,5.109,4.952,4.812,5.143,5.004,1.069,6.608,38.51,13.02,447.3,12.6,1.527,50546,-1,None,0,No Risk,0
2026-01-18,17,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,103,1,35.06,74.64,89.94,3,1,Stable,5.176,5.223,4.798,5.041,5.059,1.089,6.62,38.72,13.53,482.3,11.9,1.529,55210,-1,None,0,No Risk,0
2026-01-19,18,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,104,1,33.51,72.7,87.16,3,0,Stable,5.081,4.899,4.747,4.862,4.897,1.07,6.563,38.75,13.72,460.8,11.6,1.56,67289,-1,None,0,No Risk,0
