Animal_ID,Age_Years,Parity,Days_In_Milk,Past_Mastitis_Episodes,Somatic_Cell_Count_Actual,Somatic_Cell_Score,Mean_EC,Quarter_Differential_Ratio,Milk_pH,Milk_Temperature_C,Udder_Thermal_Asymmetry_C,Milk_Yield_Liters,Fat_Pct,Protein_Pct,Lactose_Pct,Rumination_Minutes,Lying_Hours,Activity_Index,Bedding_Hygiene_Score,Teat_Dipping_Practiced,THI_Index,Yield_Drop_Pct,Early_Warning_Lead_Days,Risk_Tier_Label,Risk_Tier_Code,Mastitis_Target
Moo-10000,5.0,4,207,0,150000,3.46,5.3,1.26,6.78,38.8,0.44,336.0,4.86,3.93,4.73,418,10.1,105.4,3,1,70.5,0.0,11.2,Low Risk,1,0
Moo-10001,4.0,3,100,0,300000,3.84,5.42,1.47,6.84,39.28,1.12,276.5,4.27,3.83,4.69,374,7.7,136.2,2,1,81.5,2.3,9.4,Moderate Risk,2,1
Moo-10002,5.0,4,236,1,300000,4.38,5.69,1.51,6.96,39.0,0.87,380.0,3.86,3.25,4.74,397,9.0,115.9,2,0,83.0,0.0,6.1,Moderate Risk,2,1
Moo-10003,4.0,4,220,1,77775,2.79,4.68,1.03,6.65,38.49,0.12,356.0,3.8,3.2,4.81,478,11.9,94.6,5,1,75.8,0.0,-1.0,No Risk,0,0
Moo-10004,4.0,4,198,0,320425,4.51,5.35,1.52,6.7,39.13,0.89,349.0,5.28,3.25,4.69,386,8.6,128.6,3,0,84.3,12.3,8.6,Moderate Risk,2,1
Moo-10005,4.0,1,147,3,403617,5.01,5.58,1.4,6.97,39.15,0.69,285.5,4.12,3.62,4.73,398,8.5,120.0,3,0,82.0,0.0,7.0,Moderate Risk,2,1
Moo-10006,3.0,2,199,1,415110,4.96,5.37,1.39,6.9,39.02,0.8,426.5,3.51,3.06,4.83,379,8.2,144.5,1,0,77.9,9.1,6.0,Moderate Risk,2,1
Moo-10007,3.0,1,203,0,300000,4.32,5.27,1.48,7.07,39.24,0.82,391.0,3.59,3.09,4.83,372,10.1,135.7,2,0,69.0,25.8,8.8,Moderate Risk,2,1
Moo-10008,3.0,3,218,0,40748,1.72,5.03,1.12,6.62,38.54,0.19,205.0,3.91,3.71,4.77,485,11.0,104.7,4,1,75.6,0.0,-1.0,No Risk,0,0
Moo-10009,3.0,4,179,1,1385201,6.98,6.07,2.11,7.29,39.96,1.87,425.0,3.72,3.24,4.84,320,6.7,158.4,3,1,72.0,0.0,3.1,High Risk,3,1
Moo-10010,4.0,3,182,0,65886,2.38,4.66,1.06,6.53,38.52,0.2,536.0,3.52,3.01,4.89,501,12.2,88.9,5,1,78.4,8.1,-1.0,No Risk,0,0
Moo-10011,2.5,5,70,2,33913,1.14,4.67,1.05,6.54,38.64,0.19,307.0,3.54,3.19,4.9,516,12.0,111.4,4,1,73.1,5.0,-1.0,No Risk,0,0
Moo-10012,2.5,3,207,1,501243,5.25,5.18,1.42,6.99,39.45,0.94,350.5,3.71,3.34,4.89,374,9.2,131.1,2,1,77.2,19.6,6.9,Moderate Risk,2,1
Moo-10013,3.0,1,318,2,300000,3.8,5.25,1.42,6.87,39.01,1.07,242.0,3.15,3.57,4.81,323,9.5,114.2,1,0,73.5,14.2,7.1,Moderate Risk,2,1
Moo-10014,3.0,1,70,1,750000,5.5,6.08,1.66,7.29,40.07,1.26,476.0,3.37,2.49,4.74,250,7.9,145.7,1,1,75.9,0.0,2.5,High Risk,3,1
Moo-10015,4.0,1,163,0,41477,1.55,4.76,1.02,6.61,38.56,0.11,403.0,3.82,3.01,4.89,437,11.3,104.7,5,1,73.8,0.0,-1.0,No Risk,0,0
Moo-10016,4.0,1,291,0,750000,5.5,6.0,1.66,7.39,40.55,1.28,285.5,4.12,3.62,4.73,265,8.8,143.3,1,0,77.3,0.0,2.1,High Risk,3,1
Moo-10017,2.5,5,42,0,175580,3.71,5.37,1.18,6.65,39.1,0.28,395.0,3.05,3.37,5.2,415,10.3,125.0,3,0,73.9,0.0,12.3,Low Risk,1,0
Moo-10018,3.0,2,120,1,1001705,6.15,5.99,2.24,7.21,39.75,2.01,426.5,3.51,3.06,4.83,287,7.5,157.1,2,0,79.0,0.0,2.3,High Risk,3,1
Moo-10019,3.0,4,296,0,82073,2.8,4.86,1.02,6.55,38.66,0.05,370.0,4.28,3.27,5.13,473,11.3,105.1,5,1,75.4,0.0,-1.0,No Risk,0,0
Moo-10020,3.0,5,206,0,313392,4.88,5.29,1.39,7.06,39.04,1.12,364.5,4.2,3.54,4.73,368,9.9,133.3,1,1,81.6,0.0,9.1,Moderate Risk,2,1
Moo-10021,4.0,3,128,0,39004,1.81,4.78,1.13,6.52,38.52,0.16,254.0,3.75,4.08,4.61,499,10.7,97.3,5,1,78.6,0.0,-1.0,No Risk,0,0
Moo-10022,3.0,5,155,0,52722,1.85,4.72,1.06,6.56,38.47,0.07,439.0,3.03,3.1,4.89,495,11.3,95.1,3,1,74.9,0.0,-1.0,No Risk,0,0
Moo-10023,5.0,1,239,0,314208,4.72,5.63,1.55,6.93,39.18,0.69,297.5,4.09,3.63,4.73,418,9.3,139.8,1,0,81.8,0.0,9.8,Moderate Risk,2,1
Moo-10024,4.0,2,271,1,150000,3.46,5.18,1.2,6.7,39.08,0.41,529.0,3.92,3.15,4.86,436,9.9,120.9,4,1,72.9,9.1,11.7,Low Risk,1,0
Moo-10025,4.0,5,175,0,43425,1.74,4.75,1.03,6.59,38.37,0.22,344.0,4.62,4.21,5.21,460,11.2,109.2,5,0,75.4,9.9,-1.0,No Risk,0,0
Moo-10026,5.0,5,261,3,317995,4.52,5.18,1.54,6.82,38.9,1.14,312.0,3.15,3.19,4.79,385,10.4,134.5,2,0,76.3,31.1,6.3,Moderate Risk,2,1
Moo-10027,5.0,3,152,2,519336,5.4,5.41,1.55,6.89,39.42,0.84,297.5,4.09,3.63,4.73,339,9.0,137.4,1,1,72.4,26.7,9.2,Moderate Risk,2,1
Moo-10028,3.0,3,73,3,796082,6.14,6.12,2.05,7.29,40.2,1.51,405.0,3.79,3.65,4.64,335,8.7,136.4,2,0,77.3,0.0,3.4,High Risk,3,1
Moo-10029,3.0,4,185,0,2751879,7.74,5.88,1.62,7.45,40.48,2.06,261.0,4.41,4.23,4.71,347,7.2,143.2,1,1,71.9,8.4,1.3,High Risk,3,1
Moo-10030,3.0,1,214,0,2655081,7.8,5.56,2.34,7.15,40.23,1.82,284.0,4.13,3.75,4.74,337,6.3,146.3,1,0,78.2,0.0,2.1,High Risk,3,1
Moo-10031,3.0,3,92,0,56138,2.09,4.83,1.04,6.61,38.41,0.11,304.0,3.42,3.06,4.98,511,11.6,97.1,5,1,65.8,0.0,-1.0,No Risk,0,0
Moo-10032,2.5,2,257,1,150000,2.92,5.15,1.25,6.78,38.81,0.33,345.0,4.66,3.6,4.92,419,9.7,129.0,3,1,72.8,10.9,13.4,Low Risk,1,0
Moo-10033,3.0,2,165,1,750000,5.71,5.62,2.15,7.14,40.34,2.22,381.0,3.55,3.26,4.79,245,7.6,135.7,1,0,75.8,5.0,1.3,High Risk,3,1
Moo-10034,2.5,4,114,0,482809,5.36,5.52,1.39,6.9,39.3,0.97,290.0,4.2,3.67,4.86,313,9.8,125.3,1,0,79.0,0.0,7.1,Moderate Risk,2,1
Moo-10035,6.0,1,294,2,34712,1.42,4.94,1.01,6.71,38.5,0.17,503.0,3.52,3.29,4.73,496,11.9,105.0,5,1,67.4,0.0,-1.0,No Risk,0,0
Moo-10036,2.5,4,292,0,25000,1.52,4.77,1.09,6.55,38.64,0.08,313.0,2.72,3.86,4.95,554,10.8,99.1,4,0,72.5,0.0,-1.0,No Risk,0,0
Moo-10037,4.0,1,305,0,53339,2.26,4.45,1.06,6.59,38.53,0.08,418.0,2.7,3.57,4.84,487,11.6,99.1,4,1,78.4,0.7,-1.0,No Risk,0,0
Moo-10038,3.0,3,123,1,36901,2.13,4.98,1.12,6.5,38.56,0.12,248.0,4.04,3.68,4.91,478,12.3,95.9,4,1,65.5,0.0,-1.0,No Risk,0,0
Moo-10039,2.5,3,29,0,37700,1.81,4.54,1.1,6.63,38.34,0.2,327.0,4.91,3.77,4.75,497,12.5,99.8,5,1,77.1,0.0,-1.0,No Risk,0,0
Moo-10040,3.0,5,57,3,1989675,7.33,5.81,1.71,7.15,39.91,1.51,169.0,4.9,4.18,4.87,331,8.3,167.4,1,0,82.3,17.6,3.0,High Risk,3,1
Moo-10041,4.0,2,315,2,761261,6.09,6.03,2.06,7.14,40.29,2.05,285.5,4.12,3.62,4.73,322,7.7,154.2,2,0,79.5,0.0,2.3,High Risk,3,1
Moo-10042,2.5,1,270,1,750000,5.71,5.91,1.9,7.43,40.63,1.31,326.0,3.59,3.29,4.82,335,7.0,159.9,3,0,69.7,0.0,2.5,High Risk,3,1
Moo-10043,4.0,3,82,1,33186,1.31,4.64,1.01,6.58,38.69,0.1,276.0,5.01,3.62,4.83,467,11.3,96.1,4,1,75.7,0.0,-1.0,No Risk,0,0
Moo-10044,5.0,5,241,1,300000,4.07,5.22,1.39,7.16,38.87,0.88,314.0,3.75,3.25,4.52,329,10.1,128.0,1,1,82.9,0.0,9.2,Moderate Risk,2,1
Moo-10045,3.0,3,274,0,85016,2.8,4.86,1.13,6.54,38.25,0.16,497.0,4.89,3.27,4.91,465,11.4,99.6,5,0,75.8,0.0,-1.0,No Risk,0,0
Moo-10046,4.0,5,55,0,62173,2.29,4.54,1.1,6.61,38.68,0.19,230.0,3.98,4.1,4.78,485,11.6,89.8,3,1,70.6,0.0,-1.0,No Risk,0,0
Moo-10047,3.0,5,221,0,46323,2.08,4.63,1.06,6.55,38.22,0.16,428.0,3.69,3.15,4.94,500,12.2,87.0,5,1,67.3,0.0,-1.0,No Risk,0,0
Moo-10048,4.0,3,36,0,1111616,6.23,6.33,1.7,7.3,40.49,2.21,401.0,2.99,3.0,4.85,295,7.8,140.4,1,1,75.5,0.0,1.6,High Risk,3,1
Moo-10049,2.5,5,311,0,750000,5.72,5.82,1.7,7.28,40.82,2.01,359.0,3.66,3.1,4.91,354,6.0,130.1,1,0,76.1,0.0,1.0,High Risk,3,1
Moo-10050,4.0,3,220,0,33824,0.89,4.7,1.05,6.61,38.34,0.15,525.0,3.2,3.14,4.91,537,11.4,100.6,4,0,74.7,0.0,-1.0,No Risk,0,0
Moo-10051,5.0,2,283,4,300000,3.84,5.19,1.48,7.03,39.11,0.69,297.5,4.09,3.63,4.73,448,8.9,118.4,2,0,81.0,0.0,7.7,Moderate Risk,2,1
