"herd","timepoint","breed","quarter","cow_nid","parity","calving_date","DIM","SCC","DSCC","treatment","yield_tot","log_scc"
"castello","1","holstein",1,"castello_1097","4",2019-10-17,5,112,52.2,"sigillante",NA,4.71849887129509
"castello","1","holstein",2,"castello_1097","4",2019-10-17,5,40,42.5,"sigillante",NA,3.68887945411394
"castello","1","holstein",3,"castello_1097","4",2019-10-17,5,37,53.7,"sigillante",NA,3.61091791264422
"castello","1","holstein",4,"castello_1097","4",2019-10-17,5,105,66.8,"sigillante",NA,4.65396035015752
"castello","1","holstein",1,"castello_1165","4",2019-11-01,10,7,77.8,"sigillante",NA,1.94591014905531
"castello","1","holstein",2,"castello_1165","4",2019-11-01,10,14,48.9,"sigillante",NA,2.63905732961526
"castello","1","holstein",3,"castello_1165","4",2019-11-01,10,16,47.6,"sigillante",NA,2.77258872223978
"castello","1","holstein",4,"castello_1165","4",2019-11-01,10,12,29.5,"sigillante",NA,2.484906649788
"castello","1","holstein",1,"castello_1069","3",2019-02-28,13,29,63.6,"antibiotico",10384,3.36729582998647
"castello","1","holstein",2,"castello_1069","3",2019-02-28,13,40,58.6,"antibiotico",10384,3.68887945411394
"castello","1","holstein",3,"castello_1069","3",2019-02-28,13,197,89.9,"antibiotico",10384,5.28320372873799
"castello","1","holstein",4,"castello_1069","3",2019-02-28,13,23,67.3,"antibiotico",10384,3.13549421592915
"castello","1","holstein",1,"castello_1368","2",2019-07-06,43,19,15.9,"sigillante",6104,2.94443897916644
"castello","1","holstein",2,"castello_1368","2",2019-07-06,43,467,70.7,"antibiotico",6104,6.1463292576689
"castello","1","holstein",3,"castello_1368","2",2019-07-06,43,389,68.5,"antibiotico",6104,5.96357934361845
"castello","1","holstein",4,"castello_1368","2",2019-07-06,43,21,19.6,"sigillante",6104,3.04452243772342
"castello","1","holstein",1,"castello_1060","3",2018-12-16,82,15,50.5,"sigillante",NA,2.70805020110221
"castello","1","holstein",2,"castello_1060","3",2018-12-16,82,10,57.8,"sigillante",NA,2.30258509299405
"castello","1","holstein",3,"castello_1060","3",2018-12-16,82,324,84.5,"antibiotico",NA,5.78074351579233
"castello","1","holstein",4,"castello_1060","3",2018-12-16,82,10,69.1,"sigillante",NA,2.30258509299405
"castello","1","holstein",1,"castello_1094","3",2019-07-05,230,361,48.9,"antibiotico",NA,5.88887795833288
"castello","1","holstein",2,"castello_1094","3",2019-07-05,230,1226,67.1,"antibiotico",NA,7.11151211649616
"castello","1","holstein",1,"castello_1288","3",2019-12-20,244,9,5.1,"antibiotico",NA,2.19722457733622
"castello","1","holstein",3,"castello_1288","3",2019-12-20,244,6459,60.5,"antibiotico",NA,8.77322978603247
"castello","1","holstein",4,"castello_1288","3",2019-12-20,244,9395,71,"antibiotico",NA,9.14793291184757
"castello","1","holstein",1,"castello_1485","2",2019-09-29,259,31,50.7,"sigillante",7880,3.43398720448515
"castello","1","holstein",2,"castello_1485","2",2019-09-29,259,44,62.8,"sigillante",7880,3.78418963391826
"castello","1","holstein",3,"castello_1485","2",2019-09-29,259,18,40,"sigillante",7880,2.89037175789616
"castello","1","holstein",4,"castello_1485","2",2019-09-29,259,24,17.1,"sigillante",7880,3.17805383034795
"castello","1","holstein",1,"castello_1367","2",2019-10-13,260,21,26.8,"sigillante",5720,3.04452243772342
"castello","1","holstein",2,"castello_1367","2",2019-10-13,260,6,20.9,"sigillante",5720,1.79175946922805
"castello","1","holstein",3,"castello_1367","2",2019-10-13,260,8,20,"sigillante",5720,2.07944154167984
"castello","1","holstein",4,"castello_1367","2",2019-10-13,260,12,25,"sigillante",5720,2.484906649788
"castello","1","holstein",1,"castello_6615","3",2019-04-15,260,22,37.5,"antibiotico",10563,3.09104245335832
"castello","1","holstein",2,"castello_6615","3",2019-04-15,260,377,65.6,"antibiotico",10563,5.93224518744801
"castello","1","holstein",3,"castello_6615","3",2019-04-15,260,26,36,"antibiotico",10563,3.25809653802148
"castello","1","holstein",4,"castello_6615","3",2019-04-15,260,21,50,"antibiotico",10563,3.04452243772342
"castello","1","holstein",1,"castello_3148","2",2020-01-03,261,68,44.5,"sigillante",8668,4.21950770517611
"castello","1","holstein",2,"castello_3148","2",2020-01-03,261,453,56.7,"antibiotico",8668,6.11589212548303
"castello","1","holstein",3,"castello_3148","2",2020-01-03,261,89,31.4,"sigillante",8668,4.48863636973214
"castello","1","holstein",4,"castello_3148","2",2020-01-03,261,213,47.2,"antibiotico",8668,5.36129216570943
"castello","1","holstein",1,"castello_1255","3",2019-11-19,262,2230,69.6,"antibiotico",NA,7.70975686445416
"castello","1","holstein",2,"castello_1255","3",2019-11-19,262,3003,66.1,"antibiotico",NA,8.00736706798333
"castello","1","holstein",3,"castello_1255","3",2019-11-19,262,2035,66.9,"antibiotico",NA,7.6182510978767
"castello","1","holstein",4,"castello_1255","3",2019-11-19,262,2956,70.2,"antibiotico",NA,7.99159228206809
"castello","1","holstein",1,"castello_6573","4",2019-12-30,263,2842,64.8,"antibiotico",NA,7.95226330865705
"castello","1","holstein",2,"castello_6573","4",2019-12-30,263,1864,56.8,"antibiotico",NA,7.53047999524554
"castello","1","holstein",3,"castello_6573","4",2019-12-30,263,1892,54.3,"antibiotico",NA,7.54538974961182
"castello","1","holstein",4,"castello_6573","4",2019-12-30,263,748,64.7,"antibiotico",NA,6.61740297797448
"castello","1","holstein",3,"castello_9982","3",2019-10-22,263,111,65,"sigillante",NA,4.70953020131233
"castello","1","holstein",4,"castello_9982","3",2019-10-22,263,93,73.2,"antibiotico",NA,4.53259949315326
"castello","1","holstein",1,"castello_6580","3",2019-04-12,264,6026,47,"antibiotico",7104,8.70383871969025
"castello","1","holstein",3,"castello_6580","3",2019-04-12,264,8488,50.8,"antibiotico",7104,9.04640868029382
"castello","1","holstein",4,"castello_6580","3",2019-04-12,264,7252,49.4,"antibiotico",7104,8.88903257187474
"castello","1","holstein",1,"castello_1490","2",2019-10-26,266,8,16.1,"sigillante",NA,2.07944154167984
"castello","1","holstein",2,"castello_1490","2",2019-10-26,266,7,30,"sigillante",NA,1.94591014905531
"castello","1","holstein",3,"castello_1490","2",2019-10-26,266,13,38.7,"sigillante",NA,2.56494935746154
"castello","1","holstein",4,"castello_1490","2",2019-10-26,266,10,38.2,"sigillante",NA,2.30258509299405
"castello","1","holstein",1,"castello_1546","2",2019-10-23,268,61,63.6,"sigillante",7198,4.11087386417331
"castello","1","holstein",2,"castello_1546","2",2019-10-23,268,52,46.5,"sigillante",7198,3.95124371858143
"castello","1","holstein",3,"castello_1546","2",2019-10-23,268,144,62.5,"sigillante",7198,4.969813299576
"castello","1","holstein",4,"castello_1546","2",2019-10-23,268,73,69.7,"sigillante",7198,4.29045944114839
"castello","1","holstein",1,"castello_1609","2",2020-02-17,268,16,48.6,"sigillante",NA,2.77258872223978
"castello","1","holstein",2,"castello_1609","2",2020-02-17,268,16,39.6,"sigillante",NA,2.77258872223978
"castello","1","holstein",3,"castello_1609","2",2020-02-17,268,20,39.7,"sigillante",NA,2.99573227355399
"castello","1","holstein",4,"castello_1609","2",2020-02-17,268,15,30,"sigillante",NA,2.70805020110221
"castello","1","holstein",1,"castello_6669","3",2019-09-17,268,206,56.1,"antibiotico",10371,5.32787616878958
"castello","1","holstein",2,"castello_6669","3",2019-09-17,268,85,48,"antibiotico",10371,4.44265125649032
"castello","1","holstein",3,"castello_6669","3",2019-09-17,268,180,57.9,"antibiotico",10371,5.19295685089021
"castello","1","holstein",4,"castello_6669","3",2019-09-17,268,419,62.9,"antibiotico",10371,6.03787091992214
"castello","1","holstein",2,"castello_6496","4",2019-10-15,270,5761,51,"antibiotico",NA,8.65886634973238
"castello","1","holstein",3,"castello_6496","4",2019-10-15,270,7615,47.2,"antibiotico",NA,8.93787526532926
"castello","1","holstein",4,"castello_6496","4",2019-10-15,270,9009,66.2,"antibiotico",NA,9.10597935665144
"castello","1","holstein",1,"castello_9619","4",2019-09-28,273,1545,72.4,"antibiotico",10049,7.34277918933185
"castello","1","holstein",2,"castello_9619","4",2019-09-28,273,650,75.9,"antibiotico",10049,6.47697236288968
